,AQI,城市道路照明灯千盏,城市公共汽、电车车辆运营数辆,城市公共汽、电车运营线路总长度公里,城市建设用地面积平方公里,城市绿地面积公顷,城市排水管道长度公里,城市桥梁座,城市清扫保洁面积万平方米,城市燃气普及率%,城市人口密度人每平方公里,城市污水日处理能力万立方米,城市用水普及率%,除涝面积千公顷,低温冷冻和雪灾受灾面积千公顷,电子商务采购额亿元,电子商务销售额亿元,发明专利授权数件,分地区公路货运量(万吨,分地区水路货运量万吨,分地区铁路货运量万吨,分地区用电量亿千瓦小时,风雹灾害受灾面积千公顷,公路货物周转量亿吨公里).,公路客运量万人,公路旅客周转量亿人公里,供热面积万平方米,供热总量-热水万吉焦,供热总量-蒸汽万吉焦,国家自然保护区个数(个,国家自然保护区面积万公顷,旱灾受灾面积千公顷,洪涝、地质灾害和台风受灾面积千公顷,技术市场成交额万元,建成区绿化覆盖率%,居民人均消费支出元,每万人拥有公共厕所座,每万人拥有公共交通车辆标台,年末人口数.,年末实有道路面积万平方米 ,年末实有道路长度公里,企业期末使用计算机数台,企业拥有网站数个,全年供水总量万立方千米,人工煤气管道长度公里,人工煤气全年供气总量万立方米,人工煤气用气人口数万人,人均城市道路面积平方米,人均公园绿地面积平方米,人均可支配收入元,人均生活用水量升,生活垃圾清运量万吨,生活垃圾无害化处理厂数座,生活垃圾无害化处理量万吨,生活垃圾无害化处理率(%).,生活垃圾无害化处理能力吨每日,实用新型专利授权数件,受灾人口万人次,水库总容量亿立方米,水路货物周转量亿吨公里,水土流失治理面积千公顷,水运客运量万人,水运旅客周转量亿人公里,天然气管道长度公里,天然气全年供气总量万立方米,天然气用气人口数万人,铁路货物周转量亿吨公里,铁路客运量万人,铁路旅客周转量亿人公里,外观设计专利授权数件,液化石油气管道长度公里,液化石油气全年供气总量吨,液化石油气用气人口万人,用水人口万人,有电子商务交易活动企业数个,主要城市降水量毫米,主要城市平均气温摄氏度,主要城市平均相对湿度%,主要城市日照时数小时,城区面积（平方公里）.xlsx,城市出租汽车（辆）.xlsx,城市道路照明灯（千盏）.xlsx,城市公共汽、电车车辆运营数（辆）.xlsx,城市公共汽、电车运营线路总长度（公里）.xlsx,城市建设用地面积（平方公里）.xlsx,城市绿地面积（公顷）.xlsx,城市排水管道长度（公里）.xlsx,城市桥梁（座）.xlsx,城市清扫保洁面积（万平方米）.xlsx,城市燃气普及率（%）.xlsx,城市人口密度（人每平方公里）.xlsx,城市污水日处理能力（万立方米）.xlsx,城市用水普及率（%）.xlsx,除涝面积（千公顷）.xlsx,低温冷冻和雪灾受灾面积（千公顷）.xlsx,电子商务采购额（亿元）.xlsx,电子商务销售额（亿元）.xlsx,发明专利授权数（件）.xlsx,分地区公路货运量(万吨）.xlsx,分地区水路货运量（万吨）.xlsx,分地区铁路货运量（万吨）.xlsx,分地区用电量（亿千瓦小时）.xlsx,风雹灾害受灾面积（千公顷）.xlsx,公路货物周转量（亿吨公里).xlsx,公路客运量（万人）.xlsx,公路旅客周转量（亿人公里）.xlsx,供热面积（万平方米）.xlsx,供热总量-热水（万吉焦）.xlsx,供热总量-蒸汽（万吉焦）.xlsx,国家自然保护区个数(个）.xlsx,国家自然保护区面积（万公顷）.xlsx,旱灾受灾面积（千公顷）.xlsx,洪涝、地质灾害和台风受灾面积（千公顷）.xlsx,技术市场成交额（万元）.xlsx,建成区绿化覆盖率（%）.xlsx,居民人均消费支出（元）.xlsx,每万人拥有公共厕所（座）.xlsx,每万人拥有公共交通车辆（标台）.xlsx,年末人口数.xlsx,年末实有道路面积（万平方米 ）.xlsx,年末实有道路长度（公里）.xlsx,企业期末使用计算机数（台）.xlsx,企业拥有网站数（个）.xlsx,全年供水总量（万立方千米）.xlsx,人工煤气管道长度（公里）.xlsx,人工煤气全年供气总量（万立方米）.xlsx,人工煤气用气人口数（万人）.xlsx,人均城市道路面积（平方米）.xlsx,人均公园绿地面积（平方米）.xlsx,人均可支配收入（元）.xlsx,人均生活用水量（升）.xlsx,生活垃圾清运量（万吨）.xlsx,生活垃圾无害化处理厂数（座）.xlsx,生活垃圾无害化处理量（万吨）.xlsx,生活垃圾无害化处理率(%).xlsx,生活垃圾无害化处理能力（吨每日）.xlsx,实用新型专利授权数（件）.xlsx,受灾人口（万人次）.xlsx,水库总容量（亿立方米）.xlsx,水路货物周转量（亿吨公里）.xlsx,水土流失治理面积（千公顷）.xlsx,水运客运量（万人）.xlsx,水运旅客周转量（亿人公里）.xlsx,天然气管道长度（公里）.xlsx,天然气全年供气总量（万立方米）.xlsx,天然气用气人口数（万人）.xlsx,铁路货物周转量（亿吨公里）.xlsx,铁路客运量（万人）.xlsx,铁路旅客周转量（亿人公里）.xlsx,外观设计专利授权数（件）.xlsx,液化石油气管道长度（公里）.xlsx,液化石油气全年供气总量（吨）.xlsx,液化石油气用气人口（万人）.xlsx,用水人口（万人）.xlsx,有电子商务交易活动企业数（个）.xlsx,主要城市降水量（毫米）.xlsx,主要城市平均气温（摄氏度）.xlsx,主要城市平均相对湿度（%）.xlsx,主要城市日照时数（小时）.xlsx
2017-山西,30492.00 ,545.50 ,9252.00 ,14291.00 ,1140.10 ,63987.00 ,7645.00 ,1298.00 ,16581.00 ,98.34 ,3454.00 ,257.10 ,97.81 ,89.10 ,53.00 ,733.00 ,864.30 ,2382.00 ,114880.00 ,20.00 ,74616.00 ,NA,218.10 ,1758.66 ,17333.00 ,150.36 ,51586.00 ,17016.00 ,2793.00 ,NA,NA,497.30 ,52.90 ,941471.00 ,40.60 ,13664.40 ,2.09 ,9.74 ,3510.00 ,18132.00 ,8201.00 ,685530.00 ,5839.00 ,94129.00 ,851.00 ,59857.00 ,42.70 ,15.92 ,11.98 ,20420.00 ,128.60 ,479.10 ,25.00 ,454.50 ,94.90 ,14081.00 ,7730.00 ,658.00 ,69.70 ,0.10 ,6484.80 ,158.00 ,0.11 ,14774.00 ,316260.00 ,1002.70 ,2426.27 ,7664.00 ,223.29 ,1199.00 ,121.00 ,90792.00 ,74.60 ,1114.00 ,904.00 ,521.20 ,11.50 ,57.00 ,2622.00 ,3297.80 ,30492.00 ,545.50 ,9252.00 ,14291.00 ,1140.10 ,63987.00 ,7645.00 ,1298.00 ,16581.00 ,98.34 ,3454.00 ,257.10 ,97.81 ,89.10 ,53.00 ,733.00 ,864.30 ,2382.00 ,114880.00 ,20.00 ,74616.00 ,NA,218.10 ,1758.66 ,17333.00 ,150.36 ,51586.00 ,17016.00 ,2793.00 ,NA,NA,497.30 ,52.90 ,941471.00 ,40.60 ,13664.40 ,2.09 ,9.74 ,3510.00 ,18132.00 ,8201.00 ,685530.00 ,5839.00 ,94129.00 ,851.00 ,59857.00 ,42.70 ,15.92 ,11.98 ,20420.00 ,128.60 ,479.10 ,25.00 ,454.50 ,94.90 ,14081.00 ,7730.00 ,658.00 ,69.70 ,0.10 ,6484.80 ,158.00 ,0.11 ,14774.00 ,316260.00 ,1002.70 ,2426.27 ,7664.00 ,223.29 ,1199.00 ,121.00 ,90792.00 ,74.60 ,1114.00 ,904.00 ,521.20 ,11.50 ,57.00 ,2622.00 
2017-陕西,25468.00 ,723.60 ,12559.00 ,11523.00 ,1229.90 ,69219.00 ,9704.00 ,801.00 ,19232.00 ,93.61 ,4101.00 ,304.00 ,95.95 ,133.20 ,6.30 ,814.40 ,1213.70 ,8774.00 ,123721.00 ,196.00 ,39162.00 ,NA,128.20 ,2118.21 ,58580.00 ,289.15 ,39579.00 ,10544.00 ,3318.00 ,NA,NA,434.20 ,82.40 ,9209395.00 ,39.90 ,14899.70 ,4.98 ,15.63 ,3904.00 ,17538.00 ,7886.00 ,1061206.00 ,11571.00 ,137919.00 ,NA,NA,NA,16.32 ,12.64 ,20635.20 ,166.60 ,379.20 ,22.00 ,375.30 ,99.00 ,18254.00 ,17003.00 ,687.30 ,94.30 ,0.66 ,7765.00 ,393.00 ,0.68 ,16567.00 ,385643.00 ,940.40 ,1641.77 ,8908.00 ,471.03 ,8777.00 ,3.00 ,27949.00 ,65.80 ,1031.30 ,2311.00 ,1165.90 ,15.20 ,80.00 ,1100.70 ,2620.90 ,25468.00 ,723.60 ,12559.00 ,11523.00 ,1229.90 ,69219.00 ,9704.00 ,801.00 ,19232.00 ,93.61 ,4101.00 ,304.00 ,95.95 ,133.20 ,6.30 ,814.40 ,1213.70 ,8774.00 ,123721.00 ,196.00 ,39162.00 ,NA,128.20 ,2118.21 ,58580.00 ,289.15 ,39579.00 ,10544.00 ,3318.00 ,NA,NA,434.20 ,82.40 ,9209395.00 ,39.90 ,14899.70 ,4.98 ,15.63 ,3904.00 ,17538.00 ,7886.00 ,1061206.00 ,11571.00 ,137919.00 ,NA,NA,NA,16.32 ,12.64 ,20635.20 ,166.60 ,379.20 ,22.00 ,375.30 ,99.00 ,18254.00 ,17003.00 ,687.30 ,94.30 ,0.66 ,7765.00 ,393.00 ,0.68 ,16567.00 ,385643.00 ,940.40 ,1641.77 ,8908.00 ,471.03 ,8777.00 ,3.00 ,27949.00 ,65.80 ,1031.30 ,2311.00 ,1165.90 ,15.20 ,80.00 ,1100.70 
2017-上海,46397.00 ,579.10 ,17461.00 ,24161.00 ,1910.70 ,136327.00 ,19766.00 ,2688.00 ,18852.00 ,100.00 ,3814.00 ,821.00 ,100.00 ,60.30 ,NA,8814.20 ,15342.30 ,20681.00 ,39743.00 ,56619.00 ,488.00 ,NA,NA,297.91 ,3420.00 ,116.67 ,NA,NA,NA,NA,NA,NA,NA,8106177.00 ,39.10 ,39791.90 ,2.57 ,13.94 ,2466.00 ,10896.00 ,5224.00 ,3461822.00 ,23731.00 ,310063.00 ,NA,NA,NA,4.51 ,8.19 ,58988.00 ,200.30 ,743.10 ,15.00 ,743.10 ,100.00 ,24650.00 ,39942.00 ,NA,NA,24690.72 ,NA,448.00 ,0.79 ,30387.00 ,808141.00 ,1720.50 ,10.08 ,11617.00 ,107.34 ,12183.00 ,263.00 ,344534.00 ,697.80 ,2418.30 ,3556.00 ,480.80 ,5.10 ,64.00 ,2277.20 ,6340.50 ,46397.00 ,579.10 ,17461.00 ,24161.00 ,1910.70 ,136327.00 ,19766.00 ,2688.00 ,18852.00 ,100.00 ,3814.00 ,821.00 ,100.00 ,60.30 ,NA,8814.20 ,15342.30 ,20681.00 ,39743.00 ,56619.00 ,488.00 ,NA,NA,297.91 ,3420.00 ,116.67 ,NA,NA,NA,NA,NA,NA,NA,8106177.00 ,39.10 ,39791.90 ,2.57 ,13.94 ,2466.00 ,10896.00 ,5224.00 ,3461822.00 ,23731.00 ,310063.00 ,NA,NA,NA,4.51 ,8.19 ,58988.00 ,200.30 ,743.10 ,15.00 ,743.10 ,100.00 ,24650.00 ,39942.00 ,NA,NA,24690.72 ,NA,448.00 ,0.79 ,30387.00 ,808141.00 ,1720.50 ,10.08 ,11617.00 ,107.34 ,12183.00 ,263.00 ,344534.00 ,697.80 ,2418.30 ,3556.00 ,480.80 ,5.10 ,64.00 ,2277.20 
2017-四川,32611.00 ,1344.90 ,27086.00 ,31041.00 ,2660.10 ,107505.00 ,28502.00 ,2557.00 ,37804.00 ,91.22 ,2962.00 ,670.50 ,94.91 ,104.90 ,24.10 ,NA,NA,11367.00 ,158190.00 ,7750.00 ,6982.00 ,NA,12.20 ,1676.81 ,94098.00 ,521.29 ,NA,NA,NA,NA,NA,34.80 ,142.70 ,4058307.00 ,40.00 ,16179.90 ,2.38 ,14.46 ,8289.00 ,33979.00 ,16077.00 ,NA,NA,255921.00 ,685.00 ,17004.00 ,49.10 ,13.72 ,12.48 ,20579.80 ,202.10 ,989.90 ,48.00 ,975.40 ,98.50 ,25822.00 ,33613.00 ,421.80 ,522.50 ,255.57 ,9457.00 ,2364.00 ,2.23 ,49338.00 ,718967.00 ,2080.50 ,763.79 ,12631.00 ,358.00 ,19026.00 ,394.00 ,195862.00 ,128.90 ,2349.80 ,4459.00 ,2183.00 ,20.30 ,72.00 ,1347.60 ,8359.00 ,32611.00 ,1344.90 ,27086.00 ,31041.00 ,2660.10 ,107505.00 ,28502.00 ,2557.00 ,37804.00 ,91.22 ,2962.00 ,670.50 ,94.91 ,104.90 ,24.10 ,NA,NA,11367.00 ,158190.00 ,7750.00 ,6982.00 ,NA,12.20 ,1676.81 ,94098.00 ,521.29 ,NA,NA,NA,NA,NA,34.80 ,142.70 ,4058307.00 ,40.00 ,16179.90 ,2.38 ,14.46 ,8289.00 ,33979.00 ,16077.00 ,NA,NA,255921.00 ,685.00 ,17004.00 ,49.10 ,13.72 ,12.48 ,20579.80 ,202.10 ,989.90 ,48.00 ,975.40 ,98.50 ,25822.00 ,33613.00 ,421.80 ,522.50 ,255.57 ,9457.00 ,2364.00 ,2.23 ,49338.00 ,718967.00 ,2080.50 ,763.79 ,12631.00 ,358.00 ,19026.00 ,394.00 ,195862.00 ,128.90 ,2349.80 ,4459.00 ,2183.00 ,20.30 ,72.00 ,1347.60 
2017-天津,31940.00 ,369.80 ,12686.00 ,18883.00 ,995.00 ,44309.00 ,21240.00 ,1007.00 ,13529.00 ,100.00 ,3276.00 ,293.50 ,100.00 ,364.60 ,NA,1766.40 ,2629.40 ,5844.00 ,34720.00 ,8345.00 ,8736.00 ,NA,NA,398.02 ,12538.00 ,72.83 ,47567.00 ,14862.00 ,1134.00 ,NA,NA,NA,NA,5514411.00 ,36.80 ,27841.40 ,1.74 ,19.64 ,1410.00 ,14742.00 ,7942.00 ,879740.00 ,8765.00 ,92769.00 ,NA,NA,NA,17.41 ,14.15 ,37022.30 ,145.90 ,306.90 ,9.00 ,289.80 ,94.40 ,10600.00 ,32353.00 ,NA,26.50 ,1291.07 ,99.30 ,110.00 ,0.18 ,20706.00 ,422860.00 ,811.50 ,480.46 ,4792.00 ,193.90 ,3478.00 ,NA,57567.00 ,35.40 ,846.90 ,1122.00 ,512.90 ,14.20 ,55.00 ,2452.80 ,2585.20 ,31940.00 ,369.80 ,12686.00 ,18883.00 ,995.00 ,44309.00 ,21240.00 ,1007.00 ,13529.00 ,100.00 ,3276.00 ,293.50 ,100.00 ,364.60 ,NA,1766.40 ,2629.40 ,5844.00 ,34720.00 ,8345.00 ,8736.00 ,NA,NA,398.02 ,12538.00 ,72.83 ,47567.00 ,14862.00 ,1134.00 ,NA,NA,NA,NA,5514411.00 ,36.80 ,27841.40 ,1.74 ,19.64 ,1410.00 ,14742.00 ,7942.00 ,879740.00 ,8765.00 ,92769.00 ,NA,NA,NA,17.41 ,14.15 ,37022.30 ,145.90 ,306.90 ,9.00 ,289.80 ,94.40 ,10600.00 ,32353.00 ,NA,26.50 ,1291.07 ,99.30 ,110.00 ,0.18 ,20706.00 ,422860.00 ,811.50 ,480.46 ,4792.00 ,193.90 ,3478.00 ,NA,57567.00 ,35.40 ,846.90 ,1122.00 ,512.90 ,14.20 ,55.00 ,2452.80 
2017-武汉,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-西藏,2218.00 ,26.10 ,640.00 ,1538.00 ,124.80 ,5238.00 ,651.00 ,34.00 ,976.00 ,56.77 ,1232.00 ,26.20 ,92.80 ,NA,NA,2.80 ,77.60 ,42.00 ,2148.00 ,NA,56.00 ,NA,2.20 ,105.82 ,NA,NA,NA,80.00 ,NA,NA,NA,NA,10.60 ,440.00 ,34.80 ,10320.10 ,4.84 ,10.43 ,349.00 ,1093.00 ,688.00 ,32154.00 ,455.00 ,11094.00 ,NA,NA,NA,14.70 ,5.85 ,15457.30 ,265.70 ,46.50 ,5.00 ,44.40 ,95.40 ,1049.00 ,257.00 ,29.70 ,38.40 ,NA,419.10 ,NA,NA,3450.00 ,2772.00 ,24.00 ,30.47 ,NA,NA,121.00 ,2.00 ,6059.00 ,18.20 ,69.00 ,89.00 ,966.90 ,16.60 ,81.00 ,1156.70 ,603.20 ,2218.00 ,26.10 ,640.00 ,1538.00 ,124.80 ,5238.00 ,651.00 ,34.00 ,976.00 ,56.77 ,1232.00 ,26.20 ,92.80 ,2.5',NA,2.80 ,77.60 ,42.00 ,2148.00 ,NA,56.00 ,NA,2.20 ,105.82 ,NA,NA,NA,80.00 ,NA,NA,NA,NA,10.60 ,440.00 ,34.80 ,10320.10 ,4.84 ,10.43 ,349.00 ,1093.00 ,688.00 ,32154.00 ,455.00 ,11094.00 ,NA,NA,NA,14.70 ,5.85 ,15457.30 ,265.70 ,46.50 ,5.00 ,44.40 ,95.40 ,1049.00 ,257.00 ,29.70 ,38.40 ,NA,419.10 ,NA,NA,3450.00 ,2772.00 ,24.00 ,30.47 ,NA,NA,121.00 ,2.00 ,6059.00 ,18.20 ,69.00 ,89.00 ,966.90 ,16.60 ,81.00 ,1156.70 
2017-新疆,33406.00 ,615.20 ,8919.00 ,9254.00 ,1230.80 ,68921.00 ,7411.00 ,494.00 ,15026.00 ,98.32 ,2436.00 ,257.50 ,98.75 ,21.70 ,22.00 ,300.10 ,597.00 ,950.00 ,74760.00 ,NA,9635.00 ,NA,204.50 ,1306.66 ,23568.00 ,157.57 ,37755.00 ,18168.00 ,1701.00 ,NA,NA,17.10 ,43.90 ,57554.00 ,40.00 ,15087.30 ,3.04 ,14.58 ,2480.00 ,14908.00 ,7864.00 ,466963.00 ,3271.00 ,98555.00 ,61.00 ,1757.00 ,7.20 ,19.78 ,13.23 ,19975.10 ,187.00 ,371.40 ,27.00 ,328.90 ,88.60 ,14229.00 ,5630.00 ,150.10 ,204.70 ,NA,1420.20 ,NA,NA,13358.00 ,507035.00 ,692.40 ,869.69 ,3515.00 ,270.97 ,1514.00 ,0.00 ,68363.00 ,41.60 ,744.30 ,536.00 ,303.00 ,8.00 ,57.00 ,2439.20 ,3093.70 ,33406.00 ,615.20 ,8919.00 ,9254.00 ,1230.80 ,68921.00 ,7411.00 ,494.00 ,15026.00 ,98.32 ,2436.00 ,257.50 ,98.75 ,21.70 ,22.00 ,300.10 ,597.00 ,950.00 ,74760.00 ,NA,9635.00 ,NA,204.50 ,1306.66 ,23568.00 ,157.57 ,37755.00 ,18168.00 ,1701.00 ,NA,NA,17.10 ,43.90 ,57554.00 ,40.00 ,15087.30 ,3.04 ,14.58 ,2480.00 ,14908.00 ,7864.00 ,466963.00 ,3271.00 ,98555.00 ,61.00 ,1757.00 ,7.20 ,19.78 ,13.23 ,19975.10 ,187.00 ,371.40 ,27.00 ,328.90 ,88.60 ,14229.00 ,5630.00 ,150.10 ,204.70 ,NA,1420.20 ,NA,NA,13358.00 ,507035.00 ,692.40 ,869.69 ,3515.00 ,270.97 ,1514.00 ,0.00 ,68363.00 ,41.60 ,744.30 ,536.00 ,303.00 ,8.00 ,57.00 ,2439.20 
2017-云南,19061.00 ,500.10 ,10642.00 ,21373.00 ,1087.70 ,45173.00 ,13616.00 ,756.00 ,17237.00 ,75.93 ,3000.00 ,254.70 ,96.71 ,284.90 ,12.70 ,821.20 ,1329.40 ,2259.00 ,124064.00 ,667.00 ,4568.00 ,NA,65.40 ,1360.37 ,38569.00 ,308.27 ,125.00 ,43.00 ,NA,NA,NA,102.00 ,226.50 ,847625.00 ,38.90 ,12658.10 ,5.38 ,13.60 ,4693.00 ,11856.00 ,6062.00 ,693067.00 ,7423.00 ,89552.00 ,687.00 ,5017.00 ,25.70 ,12.52 ,11.50 ,18348.30 ,129.40 ,409.10 ,28.00 ,379.40 ,92.70 ,11698.00 ,10085.00 ,629.00 ,753.60 ,16.21 ,9004.40 ,1299.00 ,2.88 ,5947.00 ,28746.00 ,430.40 ,448.37 ,4754.00 ,142.24 ,1886.00 ,80.00 ,129316.00 ,263.10 ,916.00 ,1742.00 ,1245.50 ,19.40 ,75.00 ,1154.40 ,3157.40 ,19061.00 ,500.10 ,10642.00 ,21373.00 ,1087.70 ,45173.00 ,13616.00 ,756.00 ,17237.00 ,75.93 ,3000.00 ,254.70 ,96.71 ,284.90 ,12.70 ,821.20 ,1329.40 ,2259.00 ,124064.00 ,667.00 ,4568.00 ,NA,65.40 ,1360.37 ,38569.00 ,308.27 ,125.00 ,43.00 ,NA,NA,NA,102.00 ,226.50 ,847625.00 ,38.90 ,12658.10 ,5.38 ,13.60 ,4693.00 ,11856.00 ,6062.00 ,693067.00 ,7423.00 ,89552.00 ,687.00 ,5017.00 ,25.70 ,12.52 ,11.50 ,18348.30 ,129.40 ,409.10 ,28.00 ,379.40 ,92.70 ,11698.00 ,10085.00 ,629.00 ,753.60 ,16.21 ,9004.40 ,1299.00 ,2.88 ,5947.00 ,28746.00 ,430.40 ,448.37 ,4754.00 ,142.24 ,1886.00 ,80.00 ,129316.00 ,263.10 ,916.00 ,1742.00 ,1245.50 ,19.40 ,75.00 ,1154.40 
2017-浙江,38435.00 ,1555.70 ,34281.00 ,75474.00 ,2682.50 ,159214.00 ,45674.00 ,10957.00 ,49663.00 ,99.97 ,2109.00 ,1007.20 ,100.00 ,554.60 ,1.10 ,2528.70 ,6831.30 ,28742.00 ,151920.00 ,86513.00 ,4071.00 ,NA,0.90 ,1821.22 ,80099.00 ,431.56 ,NA,NA,NA,NA,NA,NA,105.30 ,3247310.00 ,40.40 ,27079.10 ,3.23 ,16.93 ,6170.00 ,42229.00 ,21773.00 ,3779698.00 ,47796.00 ,357435.00 ,112.00 ,429.00 ,4.30 ,17.28 ,13.32 ,42045.70 ,200.20 ,1454.60 ,71.00 ,1454.60 ,100.00 ,62052.00 ,114311.00 ,113.00 ,447.00 ,8069.22 ,3721.10 ,4284.00 ,6.31 ,39097.00 ,484008.00 ,1445.10 ,215.79 ,20114.00 ,658.17 ,70752.00 ,1728.00 ,691203.00 ,993.90 ,2444.00 ,10775.00 ,1255.10 ,17.00 ,72.00 ,2037.40 ,11590.50 ,38435.00 ,1555.70 ,34281.00 ,75474.00 ,2682.50 ,159214.00 ,45674.00 ,10957.00 ,49663.00 ,99.97 ,2109.00 ,1007.20 ,100.00 ,554.60 ,1.10 ,2528.70 ,6831.30 ,28742.00 ,151920.00 ,86513.00 ,4071.00 ,NA,0.90 ,1821.22 ,80099.00 ,431.56 ,NA,NA,NA,NA,NA,NA,105.30 ,3247310.00 ,40.40 ,27079.10 ,3.23 ,16.93 ,6170.00 ,42229.00 ,21773.00 ,3779698.00 ,47796.00 ,357435.00 ,112.00 ,429.00 ,4.30 ,17.28 ,13.32 ,42045.70 ,200.20 ,1454.60 ,71.00 ,1454.60 ,100.00 ,62052.00 ,114311.00 ,113.00 ,447.00 ,8069.22 ,3721.10 ,4284.00 ,6.31 ,39097.00 ,484008.00 ,1445.10 ,215.79 ,20114.00 ,658.17 ,70752.00 ,1728.00 ,691203.00 ,993.90 ,2444.00 ,10775.00 ,1255.10 ,17.00 ,72.00 ,2037.40 
2017-重庆,21871.00 ,584.20 ,12768.00 ,16164.00 ,1213.20 ,61575.00 ,17335.00 ,1720.00 ,18249.00 ,96.37 ,2017.00 ,319.00 ,98.05 ,NA,NA,NA,NA,6138.00 ,95019.00 ,18506.00 ,2012.00 ,NA,7.90 ,1068.96 ,53307.00 ,289.54 ,NA,NA,NA,NA,NA,79.60 ,38.40 ,513581.00 ,40.30 ,17898.10 ,2.74 ,11.50 ,3144.00 ,19015.00 ,9364.00 ,NA,NA,138012.00 ,NA,NA,NA,12.67 ,17.05 ,24153.00 ,151.60 ,529.70 ,25.00 ,526.70 ,99.40 ,12103.00 ,23261.00 ,252.10 ,125.50 ,2125.72 ,3397.40 ,866.00 ,5.68 ,22320.00 ,466511.00 ,1356.60 ,179.66 ,6349.00 ,201.12 ,5381.00 ,NA,73458.00 ,89.40 ,1471.30 ,NA,1548.70 ,21.90 ,80.00 ,1632.20 ,7440.00 ,21871.00 ,584.20 ,12768.00 ,16164.00 ,1213.20 ,61575.00 ,17335.00 ,1720.00 ,18249.00 ,96.37 ,2017.00 ,319.00 ,98.05 ,NA,NA,NA,NA,6138.00 ,95019.00 ,18506.00 ,2012.00 ,NA,7.90 ,1068.96 ,53307.00 ,289.54 ,NA,NA,NA,NA,NA,79.60 ,38.40 ,513581.00 ,40.30 ,17898.10 ,2.74 ,11.50 ,3144.00 ,19015.00 ,9364.00 ,NA,NA,138012.00 ,NA,NA,NA,12.67 ,17.05 ,24153.00 ,151.60 ,529.70 ,25.00 ,526.70 ,99.40 ,12103.00 ,23261.00 ,252.10 ,125.50 ,2125.72 ,3397.40 ,866.00 ,5.68 ,22320.00 ,466511.00 ,1356.60 ,179.66 ,6349.00 ,201.12 ,5381.00 ,NA,73458.00 ,89.40 ,1471.30 ,NA,1548.70 ,21.90 ,80.00 ,1632.20 
2018-安徽,38911.00 ,978.80 ,16675.00 ,18784.00 ,2071.80 ,107515.00 ,30978.00 ,1739.00 ,37349.00 ,98.56 ,2599.00 ,611.90 ,99.75 ,2414.10 ,266.90 ,2103.20 ,4864.40 ,14846.00 ,283817.00 ,114877.00 ,8066.00 ,NA,36.90 ,5451.62 ,50770.00 ,376.89 ,2673.00 ,120.00 ,1191.00 ,NA,NA,NA,559.40 ,3213131.00 ,42.50 ,17044.60 ,2.38 ,12.80 ,6076.00 ,36927.00 ,15018.00 ,1383775.00 ,24875.00 ,200824.00 ,NA,NA,NA,22.95 ,14.67 ,23983.60 ,190.70 ,612.00 ,39.00 ,612.00 ,100.00 ,24595.00 ,55445.00 ,728.30 ,203.80 ,5630.88 ,1989.20 ,240.00 ,0.39 ,25665.00 ,342510.00 ,1421.70 ,721.19 ,12337.00 ,786.38 ,9456.00 ,137.00 ,156494.00 ,164.00 ,1604.80 ,4704.00 ,1810.20 ,18.10 ,74.00 ,1744.20 ,6190.30 ,38911.00 ,978.80 ,16675.00 ,18784.00 ,2071.80 ,107515.00 ,30978.00 ,1739.00 ,37349.00 ,98.56 ,2599.00 ,611.90 ,99.75 ,2414.10 ,266.90 ,2103.20 ,4864.40 ,14846.00 ,283817.00 ,114877.00 ,8066.00 ,NA,36.90 ,5451.62 ,50770.00 ,376.89 ,2673.00 ,120.00 ,1191.00 ,NA,NA,NA,559.40 ,3213131.00 ,42.50 ,17044.60 ,2.38 ,12.80 ,6076.00 ,36927.00 ,15018.00 ,1383775.00 ,24875.00 ,200824.00 ,NA,NA,NA,22.95 ,14.67 ,23983.60 ,190.70 ,612.00 ,39.00 ,612.00 ,100.00 ,24595.00 ,55445.00 ,728.30 ,203.80 ,5630.88 ,1989.20 ,240.00 ,0.39 ,25665.00 ,342510.00 ,1421.70 ,721.19 ,12337.00 ,786.38 ,9456.00 ,137.00 ,156494.00 ,164.00 ,1604.80 ,4704.00 ,1810.20 ,18.10 ,74.00 ,1744.20 
